call_number_id,facets
Lewis E M 10:9,15th century|Antiphonary|Belgium|Flemish|Liturgy|Fragment
Lewis E M 10:10,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 10:11,15th century|Belgium|Flemish|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 10:12,15th century|Belgium|Flemish|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 10:13,16th century|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:1,16th century|France|French|Illustration|Painting|Fragment
Lewis E M 11:1A,15th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:2,15th century|France|French|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 11:3,15th century|France|French|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 11:4,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:5,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:6,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:7,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:8,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:9,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:10,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:10A,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:10B,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:11,15th century|Gradual|Liturgy|France|French|Book of Hours|Devotion|Fragment
Lewis E M 11:12,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 11:13,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 11:14,15th century|16th century|France|French|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 11:15A,15th century|France|French|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 11:15B,15th century|16th century|Illustration|Fragment
Lewis E M 11:16,16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:17,16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:18,16th century|France|French|Book of Hours|Devotion|Illustration|Fragment
Lewis E M 11:19,15th century|16th century|Illustration|Tables|Astronomy|Fragment
