folder_base,image files
lewis_e_m_009_017a,mcai090173.tif|mcai090174.tif
lewis_e_m_009_018,mcai090181.tif|mcai090182.tif
lewis_e_m_009_019,mcai090191.tif|mcai090192.tif
lewis_e_m_009_020,mcai090201.tif|mcai090202.tif
lewis_e_m_009_021,mcai090211.tif|mcai090212.tif
lewis_e_m_009_022,mcai090221.tif|mcai090222.tif
lewis_e_m_009_023,mcai090231.tif|mcai090232.tif
lewis_e_m_009_024,mcai090241.tif|mcai090242.tif
lewis_e_m_009_025,mcai090251.tif|mcai090252.tif
lewis_e_m_009_026,mcai090261.tif|mcai090262.tif
lewis_e_m_009_027,mcai090271.tif|mcai090272.tif
lewis_e_m_010_001,mcai100011.tif|mcai100012.tif
lewis_e_m_010_002,mcai100021.tif|mcai100022.tif
lewis_e_m_010_003,mcai100031.tif|mcai100032.tif
lewis_e_m_010_004,mcai100041.tif|mcai100042.tif
lewis_e_m_010_004a,mcai100043.tif|mcai100044.tif
lewis_e_m_010_004b,mcai100045.tif|mcai100046.tif
lewis_e_m_010_005,mcai100051.tif|mcai100052.tif
lewis_e_m_010_006,mcai100061.tif|mcai100062.tif
lewis_e_m_010_007,mcai100071.tif|mcai100072.tif
lewis_e_m_010_008,mcai100083.tif|mcai100084.tif|mcai100085.tif|mcai100086.tif
lewis_e_m_010_009,mcai100091.tif|mcai100092.tif
lewis_e_m_010_010,mcai100101.tif|mcai100102.tif
lewis_e_m_010_011,mcai100111.tif|mcai100112.tif
lewis_e_m_010_012,mcai100121.tif|mcai100122.tif
lewis_e_m_010_013,mcai100131.tif|mcai100132.tif
lewis_e_m_011_001,mcai110011.tif|mcai110012.tif
lewis_e_m_011_001a,mcai110013.tif|mcai110014.tif
lewis_e_m_011_002,mcai110021.tif|mcai110022.tif
lewis_e_m_011_003,mcai110031.tif|mcai110032.tif
lewis_e_m_011_004,mcai110041.tif|mcai110042.tif
lewis_e_m_011_005,mcai110051.tif|mcai110052.tif
lewis_e_m_011_006,mcai110061.tif|mcai110062.tif
lewis_e_m_011_007,mcai110071.tif|mcai110072.tif
lewis_e_m_011_008,mcai110081.tif|mcai110082.tif
lewis_e_m_011_009,mcai110091.tif|mcai110092.tif
lewis_e_m_011_010,mcai110101.tif|mcai110102.tif
lewis_e_m_011_010a,mcai110103.tif|mcai110104.tif
lewis_e_m_011_010b,mcai110105.tif|mcai110106.tif
lewis_e_m_011_011,mcai110111.tif|mcai110112.tif
lewis_e_m_011_012,mcai110121.tif|mcai110122.tif
lewis_e_m_011_013,mcai110131.tif|mcai110132.tif
lewis_e_m_011_014,mcai110141.tif|mcai110142.tif
lewis_e_m_011_015a,mcai110153.tif|mcai110154.tif
lewis_e_m_011_015b,mcai110155.tif|mcai110156.tif
lewis_e_m_011_016,mcai110161.tif|mcai110162.tif
lewis_e_m_011_017,mcai110171.tif|mcai110172.tif
lewis_e_m_011_018,mcai110181.tif|mcai110182.tif
lewis_e_m_011_019,mcai110191.tif|mcai110192.tif
lewis_e_m_011_020,mcai110201.tif|mcai110202.tif
lewis_e_m_011_021,mcai110211.tif|mcai110212.tif
lewis_e_m_011_022,mcai110221.tif|mcai110222.tif
lewis_e_m_011_023,mcai110231.tif|mcai110232.tif
lewis_e_m_011_024,mcai110241.tif|mcai110242.tif
lewis_e_m_011_025,mcai110251.tif|mcai110252.tif
lewis_e_m_011_026,mcai110261.tif|mcai110262.tif
lewis_e_m_011_027,mcai110271.tif|mcai110272.tif
lewis_e_m_011_028,mcai110281.tif|mcai110282.tif
lewis_e_m_011_029,mcai110291.tif|mcai110292.tif
lewis_e_m_012_001,mcai120011.tif|mcai120012.tif
lewis_e_m_012_002,mcai120023.tif|mcai120024.tif|mcai120025.tif|mcai120026.tif
lewis_e_m_012_003,mcai120031.tif|mcai120032.tif
lewis_e_m_012_004,mcai120041.tif|mcai120042.tif
lewis_e_m_012_005,mcai120051.tif|mcai120052.tif
lewis_e_m_012_006,mcai120061.tif|mcai120062.tif
